Precinct,County,Registered Voters,Ann S. Jackson (I) (Rep)_Election Day Votes,Ann S. Jackson (I) (Rep)_Advanced Voting Votes,Ann S. Jackson (I) (Rep)_Absentee by Mail Votes,Ann S. Jackson (I) (Rep)_Provisional Votes,Ann S. Jackson (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,164,697,362,9,1232,1232,
Brooks,Fayette,2567,551,1039,373,0,1963,1963,
Europe,Fayette,3310,159,748,393,9,1309,1309,
Fayetteville East,Fayette,2147,147,605,281,2,1035,1035,
Fayetteville West,Fayette,2362,176,716,336,0,1228,1228,
Flint,Fayette,1732,179,467,200,0,846,846,
Hopeful,Fayette,2309,248,626,255,0,1129,1129,
Morning Creek,Fayette,3059,195,911,515,1,1622,1622,
Rareover,Fayette,3045,179,1503,282,2,1966,1966,
Sandy Creek,Fayette,4848,240,1620,463,3,2326,2326,
Shakerag East,Fayette,1689,227,591,187,2,1007,1007,
Shakerag West,Fayette,1236,63,569,184,1,817,817,
Starrsmill,Fayette,3572,443,1275,479,0,2197,2197,
Whitewater,Fayette,3564,351,1532,539,8,2430,2430,
Woolsey,Fayette,2542,348,1057,433,0,1838,1838,
McIntosh,Fayette,3323,241,1408,468,2,2119,2119,
Oak Grove,Fayette,1344,154,551,154,1,860,860,
Kedron,Fayette,4862,435,1842,599,2,2878,2878,
Aberdeen,Fayette,1805,161,761,212,0,1134,1134,
Windgate,Fayette,1011,141,417,105,2,665,665,
Flat Creek,Fayette,2117,228,704,275,3,1210,1210,
Braelinn,Fayette,1876,208,863,266,1,1338,1338,
Kenwood,Fayette,1014,100,222,119,0,441,441,
Banks,Fayette,1624,189,414,255,0,858,858,
Harps Crossing,Fayette,1646,181,614,254,2,1051,1051,
Willow Pond,Fayette,3100,286,1029,442,8,1765,1765,
Dogwood,Fayette,3092,285,1290,435,3,2013,2013,
Oak Ridge,Fayette,2225,209,609,341,3,1162,1162,
Jeff Davis,Fayette,2876,152,760,358,5,1275,1275,
Murphy,Fayette,3224,218,1099,506,4,1827,1827,
Fielding Ridge,Fayette,3497,325,1530,414,0,2269,2269,
Willowbend,Fayette,2007,175,864,235,0,1274,1274,
Camp Creek,Fayette,1895,182,824,243,2,1251,1251,
Rising Star,Fayette,3833,420,1944,479,2,2845,2845,
Spring Hill,Fayette,3299,187,1116,422,1,1726,1726,
Antioch,Fayette,1956,317,605,260,1,1183,1183,
