Precinct,County,Registered Voters,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_Choice Total,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_Choice Total,Total,
Brooks,Fayette,2567,536,968,313,2,1819,33,118,130,0,281,2100,
Shakerag East,Fayette,1689,198,483,127,1,809,59,223,144,1,427,1236,
Shakerag West,Fayette,1236,52,498,138,1,689,21,186,133,1,341,1030,
Starrsmill,Fayette,3572,397,1174,398,0,1969,83,239,214,0,536,2505,
Whitewater,Fayette,3564,303,1309,415,5,2032,79,473,284,6,842,2874,
McIntosh,Fayette,3323,211,1199,334,1,1745,51,471,313,1,836,2581,
Oak Grove,Fayette,1344,125,452,108,0,685,50,185,104,2,341,1026,
Kedron,Fayette,4862,146,470,110,0,726,63,206,128,0,397,1123,
Aberdeen,Fayette,1805,135,625,176,0,936,45,262,114,0,421,1357,
Windgate,Fayette,1011,122,338,64,2,526,28,151,84,0,263,789,
Flat Creek,Fayette,2117,170,545,222,3,940,95,303,153,1,552,1492,
Braelinn,Fayette,1876,187,791,209,2,1189,34,160,110,0,304,1493,
Willow Pond,Fayette,3100,114,364,134,2,614,51,218,160,2,431,1045,
Fielding Ridge,Fayette,3497,202,873,200,0,1275,44,308,230,0,582,1857,
Willowbend,Fayette,2007,149,710,177,0,1036,53,271,147,0,471,1507,
Camp Creek,Fayette,1895,165,711,185,1,1062,30,244,142,1,417,1479,
Rising Star,Fayette,3833,364,1718,379,1,2462,85,528,285,2,900,3362,
