Precinct,County,Registered Voters,Lee Hearn (Rep)_Election Day Votes,Lee Hearn (Rep)_Advanced Voting Votes,Lee Hearn (Rep)_Absentee by Mail Votes,Lee Hearn (Rep)_Provisional Votes,Lee Hearn (Rep)_Choice Total,Total,
Brooks,Fayette,2567,552,1035,374,1,1962,1962,
Flint,Fayette,1732,178,463,201,0,842,842,
Starrsmill,Fayette,3572,440,1255,466,0,2161,2161,
Whitewater,Fayette,3564,108,443,160,0,711,711,
Woolsey,Fayette,2542,349,1032,418,0,1799,1799,
Banks,Fayette,1624,191,414,251,0,856,856,
Harps Crossing,Fayette,1646,179,600,251,2,1032,1032,
Oak Ridge,Fayette,2225,8,45,34,2,89,89,
Jeff Davis,Fayette,2876,46,216,89,0,351,351,
Murphy,Fayette,3224,216,1083,494,3,1796,1796,
Rising Star,Fayette,3833,412,1943,475,2,2832,2832,
Antioch,Fayette,1956,316,601,264,1,1182,1182,
