Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
Northeast Morgan,Morgan,2919,198,1041,291,0,1530,1530,
East Morgan,Morgan,2228,457,978,187,2,1624,1624,
Beth/Springfield,Morgan,862,162,356,88,0,606,606,
Central Morgan,Morgan,2761,263,1303,296,0,1862,1862,
Clacks Chapel,Morgan,709,142,349,58,0,549,549,
West Morgan,Morgan,2655,450,1241,205,0,1896,1896,
North Morgan,Morgan,2690,504,1044,262,2,1812,1812,
