Precinct,County,Registered Voters,Adam E. Carter (I) (Rep)_Election Day Votes,Adam E. Carter (I) (Rep)_Advanced Voting Votes,Adam E. Carter (I) (Rep)_Absentee by Mail Votes,Adam E. Carter (I) (Rep)_Provisional Votes,Adam E. Carter (I) (Rep)_Choice Total,Total,
Northeast Morgan,Morgan,2919,213,1130,338,1,1682,1682,
East Morgan,Morgan,2228,463,995,203,2,1663,1663,
Beth/Springfield,Morgan,862,161,363,97,0,621,621,
Central Morgan,Morgan,2761,270,1341,318,0,1929,1929,
Clacks Chapel,Morgan,709,141,353,65,0,559,559,
West Morgan,Morgan,2655,459,1262,222,0,1943,1943,
North Morgan,Morgan,2690,511,1078,282,1,1872,1872,
