Precinct,County,Registered Voters,"Ben M. Riden, Jr. (I) (Rep)_Election Day Votes","Ben M. Riden, Jr. (I) (Rep)_Advanced Voting Votes","Ben M. Riden, Jr. (I) (Rep)_Absentee by Mail Votes","Ben M. Riden, Jr. (I) (Rep)_Provisional Votes","Ben M. Riden, Jr. (I) (Rep)_Choice Total",Total,
Central Morgan,Morgan,2761,22,150,19,0,191,191,
North Morgan,Morgan,2690,509,1056,274,1,1840,1840,
