Precinct,County,Registered Voters,Jody Milford Higdon (I) (Rep)_Election Day Votes,Jody Milford Higdon (I) (Rep)_Advanced Voting Votes,Jody Milford Higdon (I) (Rep)_Absentee by Mail Votes,Jody Milford Higdon (I) (Rep)_Provisional Votes,Jody Milford Higdon (I) (Rep)_Choice Total,Total,
Northeast Morgan,Morgan,2919,200,1058,303,0,1561,1561,
East Morgan,Morgan,2228,457,975,189,2,1623,1623,
Beth/Springfield,Morgan,862,160,350,91,0,601,601,
Central Morgan,Morgan,2761,261,1320,300,0,1881,1881,
Clacks Chapel,Morgan,709,137,349,59,0,545,545,
West Morgan,Morgan,2655,448,1241,213,0,1902,1902,
North Morgan,Morgan,2690,501,1045,272,2,1820,1820,
