Precinct,County,Registered Voters,Marshall Fontaine (Rep)_Election Day Votes,Marshall Fontaine (Rep)_Advanced Voting Votes,Marshall Fontaine (Rep)_Absentee by Mail Votes,Marshall Fontaine (Rep)_Provisional Votes,Marshall Fontaine (Rep)_Choice Total,Clifton Holloman (Dem)_Election Day Votes,Clifton Holloman (Dem)_Advanced Voting Votes,Clifton Holloman (Dem)_Absentee by Mail Votes,Clifton Holloman (Dem)_Provisional Votes,Clifton Holloman (Dem)_Choice Total,Total,
Pineknot,Marion,971,301,228,64,0,593,13,32,24,0,69,662,
Buena Vista,Marion,2343,99,545,151,0,795,165,482,328,0,975,1770,
Tazewell,Marion,320,107,95,22,0,224,12,10,11,0,33,257,
Brantley,Marion,396,74,157,43,0,274,6,14,12,0,32,306,
Fort Perry,Marion,883,168,229,69,0,466,33,37,38,0,108,574,
