Precinct,County,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
Pineknot,Marion,971,154,158,55,0,367,367,
Buena Vista,Marion,2343,212,753,403,0,1368,1368,
Tazewell,Marion,320,62,64,23,0,149,149,
Brantley,Marion,396,44,78,43,0,165,165,
Fort Perry,Marion,883,122,159,75,0,356,356,
