Precinct,County,Registered Voters,Joy Smith (I) (Dem)_Election Day Votes,Joy Smith (I) (Dem)_Advanced Voting Votes,Joy Smith (I) (Dem)_Absentee by Mail Votes,Joy Smith (I) (Dem)_Provisional Votes,Joy Smith (I) (Dem)_Choice Total,Total,
Pineknot,Marion,971,211,198,63,0,472,472,
Buena Vista,Marion,2343,237,879,433,0,1549,1549,
Tazewell,Marion,320,92,85,27,0,204,204,
Brantley,Marion,396,67,111,47,0,225,225,
Fort Perry,Marion,883,140,194,82,0,416,416,
