Precinct,County,Registered Voters,Sheila Studdard (I) (Rep)_Election Day Votes,Sheila Studdard (I) (Rep)_Advanced Voting Votes,Sheila Studdard (I) (Rep)_Absentee by Mail Votes,Sheila Studdard (I) (Rep)_Provisional Votes,Sheila Studdard (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,165,710,370,8,1253,1253,
Brooks,Fayette,2567,554,1036,371,1,1962,1962,
Europe,Fayette,3310,163,768,398,9,1338,1338,
Fayetteville East,Fayette,2147,150,606,282,3,1041,1041,
Fayetteville West,Fayette,2362,179,723,333,0,1235,1235,
Flint,Fayette,1732,179,462,199,0,840,840,
Hopeful,Fayette,2309,248,638,249,0,1135,1135,
Morning Creek,Fayette,3059,195,914,516,1,1626,1626,
Rareover,Fayette,3045,181,1507,278,3,1969,1969,
Sandy Creek,Fayette,4848,245,1638,461,4,2348,2348,
Shakerag East,Fayette,1689,228,598,188,2,1016,1016,
Shakerag West,Fayette,1236,64,572,183,1,820,820,
Starrsmill,Fayette,3572,448,1272,480,0,2200,2200,
Whitewater,Fayette,3564,350,1533,528,9,2420,2420,
Woolsey,Fayette,2542,353,1049,430,0,1832,1832,
McIntosh,Fayette,3323,237,1398,464,2,2101,2101,
Oak Grove,Fayette,1344,152,553,151,1,857,857,
Kedron,Fayette,4862,440,1843,598,2,2883,2883,
Aberdeen,Fayette,1805,158,759,212,0,1129,1129,
Windgate,Fayette,1011,142,416,110,2,670,670,
Flat Creek,Fayette,2117,228,701,275,3,1207,1207,
Braelinn,Fayette,1876,209,867,266,2,1344,1344,
Kenwood,Fayette,1014,100,226,121,0,447,447,
Banks,Fayette,1624,185,424,260,0,869,869,
Harps Crossing,Fayette,1646,180,611,252,2,1045,1045,
Willow Pond,Fayette,3100,283,1031,441,8,1763,1763,
Dogwood,Fayette,3092,283,1293,430,3,2009,2009,
Oak Ridge,Fayette,2225,208,610,352,3,1173,1173,
Jeff Davis,Fayette,2876,152,758,344,5,1259,1259,
Murphy,Fayette,3224,218,1103,503,4,1828,1828,
Fielding Ridge,Fayette,3497,327,1539,416,0,2282,2282,
Willowbend,Fayette,2007,176,863,227,0,1266,1266,
Camp Creek,Fayette,1895,180,824,247,2,1253,1253,
Rising Star,Fayette,3833,412,1952,481,2,2847,2847,
Spring Hill,Fayette,3299,187,1112,421,1,1721,1721,
Antioch,Fayette,1956,315,608,259,1,1183,1183,
