Precinct,County,Registered Voters,Brian Anderson (I) (Rep)_Election Day Votes,Brian Anderson (I) (Rep)_Advanced Voting Votes,Brian Anderson (I) (Rep)_Absentee by Mail Votes,Brian Anderson (I) (Rep)_Provisional Votes,Brian Anderson (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,161,689,365,9,1224,1224,
Brooks,Fayette,2567,553,1029,367,0,1949,1949,
Europe,Fayette,3310,162,758,391,7,1318,1318,
Fayetteville East,Fayette,2147,156,602,276,4,1038,1038,
Fayetteville West,Fayette,2362,175,719,330,0,1224,1224,
Flint,Fayette,1732,176,459,195,0,830,830,
Hopeful,Fayette,2309,246,629,250,0,1125,1125,
Morning Creek,Fayette,3059,193,913,517,1,1624,1624,
Rareover,Fayette,3045,179,1481,278,3,1941,1941,
Sandy Creek,Fayette,4848,246,1609,458,4,2317,2317,
Shakerag East,Fayette,1689,229,588,185,2,1004,1004,
Shakerag West,Fayette,1236,64,569,171,1,805,805,
Starrsmill,Fayette,3572,439,1264,467,0,2170,2170,
Whitewater,Fayette,3564,349,1526,514,8,2397,2397,
Woolsey,Fayette,2542,346,1047,419,0,1812,1812,
McIntosh,Fayette,3323,236,1404,458,2,2100,2100,
Oak Grove,Fayette,1344,155,550,142,1,848,848,
Kedron,Fayette,4862,440,1843,592,2,2877,2877,
Aberdeen,Fayette,1805,162,760,206,0,1128,1128,
Windgate,Fayette,1011,140,414,104,2,660,660,
Flat Creek,Fayette,2117,233,700,265,4,1202,1202,
Braelinn,Fayette,1876,206,866,261,1,1334,1334,
Kenwood,Fayette,1014,103,227,118,1,449,449,
Banks,Fayette,1624,189,420,251,0,860,860,
Harps Crossing,Fayette,1646,178,605,247,2,1032,1032,
Willow Pond,Fayette,3100,283,1038,427,8,1756,1756,
Dogwood,Fayette,3092,281,1282,426,3,1992,1992,
Oak Ridge,Fayette,2225,209,607,346,3,1165,1165,
Jeff Davis,Fayette,2876,150,770,345,5,1270,1270,
Murphy,Fayette,3224,220,1081,497,3,1801,1801,
Fielding Ridge,Fayette,3497,318,1539,413,0,2270,2270,
Willowbend,Fayette,2007,179,857,230,0,1266,1266,
Camp Creek,Fayette,1895,182,823,239,2,1246,1246,
Rising Star,Fayette,3833,414,1952,469,2,2837,2837,
Spring Hill,Fayette,3299,188,1103,410,1,1702,1702,
Antioch,Fayette,1956,317,607,262,1,1187,1187,
