Precinct,County,Registered Voters,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_Choice Total,Jill Prouty (Dem)_Election Day Votes,Jill Prouty (Dem)_Advanced Voting Votes,Jill Prouty (Dem)_Absentee by Mail Votes,Jill Prouty (Dem)_Provisional Votes,Jill Prouty (Dem)_Choice Total,Total,
Kedron,Fayette,4862,182,902,273,0,1357,128,704,372,2,1206,2563,
Fielding Ridge,Fayette,3497,78,384,72,0,534,39,227,109,0,375,909,
