Precinct,County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
Blackrock,Fayette,2699,86,317,209,6,618,137,820,467,3,1427,2045,
Brooks,Fayette,2567,535,970,308,2,1815,31,116,141,0,288,2103,
Fayetteville East,Fayette,2147,84,352,173,3,612,96,491,266,2,855,1467,
Fayetteville West,Fayette,2362,128,456,176,0,760,88,539,306,1,934,1694,
Flint,Fayette,1732,128,238,128,0,494,90,483,221,0,794,1288,
Rareover,Fayette,3045,159,1231,221,3,1614,51,501,164,0,716,2330,
Sandy Creek,Fayette,4848,108,617,157,0,882,135,1117,392,0,1644,2526,
Shakerag East,Fayette,1689,195,483,135,1,814,59,226,139,1,425,1239,
Shakerag West,Fayette,1236,50,501,136,1,688,22,188,143,1,354,1042,
Starrsmill,Fayette,3572,396,1168,398,0,1962,82,249,217,0,548,2510,
Whitewater,Fayette,3564,305,1312,414,5,2036,73,473,290,6,842,2878,
Woolsey,Fayette,2542,330,938,368,0,1636,41,173,185,0,399,2035,
McIntosh,Fayette,3323,208,1195,341,1,1745,52,483,318,1,854,2599,
Oak Grove,Fayette,1344,127,441,106,1,675,52,199,107,0,358,1033,
Kedron,Fayette,4862,328,1370,380,1,2079,191,905,509,2,1607,3686,
Aberdeen,Fayette,1805,134,622,181,0,937,48,261,113,0,422,1359,
Windgate,Fayette,1011,119,339,69,2,529,32,148,85,0,265,794,
Flat Creek,Fayette,2117,167,538,225,3,933,95,305,158,1,559,1492,
Braelinn,Fayette,1876,185,790,209,2,1186,35,162,114,0,311,1497,
Harps Crossing,Fayette,1646,158,496,198,2,854,49,224,143,1,417,1271,
Willow Pond,Fayette,3100,217,743,258,7,1225,106,585,399,2,1092,2317,
Dogwood,Fayette,3092,154,683,219,3,1059,37,329,158,0,524,1583,
Jeff Davis,Fayette,2876,83,409,201,2,695,117,728,383,5,1233,1928,
Murphy,Fayette,3224,159,758,336,4,1257,105,694,410,1,1210,2467,
Fielding Ridge,Fayette,3497,277,1263,277,0,1817,86,532,346,0,964,2781,
Willowbend,Fayette,2007,150,708,172,0,1030,53,274,147,0,474,1504,
Camp Creek,Fayette,1895,164,706,185,1,1056,32,244,147,1,424,1480,
Rising Star,Fayette,3833,368,1711,378,1,2458,81,531,286,2,900,3358,
Spring Hill,Fayette,3299,137,740,268,0,1145,90,798,464,2,1354,2499,
Antioch,Fayette,1956,252,464,179,1,896,105,266,191,0,562,1458,
