Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Blackrock,Fayette,2699,160,832,438,7,1437,59,274,189,2,524,1961,
Brooks,Fayette,2567,371,701,305,1,1378,173,345,129,1,648,2026,
Europe,Fayette,3310,195,1082,597,10,1884,50,285,235,6,576,2460,
Fayetteville East,Fayette,2147,129,595,283,4,1011,49,219,142,1,411,1422,
Fayetteville West,Fayette,2362,158,724,354,1,1237,48,263,104,0,415,1652,
Flint,Fayette,1732,160,521,237,0,918,58,170,101,0,329,1247,
Hopeful,Fayette,2309,210,650,323,1,1184,85,241,132,0,458,1642,
Morning Creek,Fayette,3059,193,933,553,1,1680,59,315,206,0,580,2260,
Rareover,Fayette,3045,160,1187,239,3,1589,42,488,127,0,657,2246,
Sandy Creek,Fayette,4848,258,1741,567,5,2571,50,615,207,1,873,3444,
Shakerag East,Fayette,1689,176,484,192,2,854,74,203,66,0,343,1197,
Shakerag West,Fayette,1236,54,464,177,1,696,17,204,83,1,305,1001,
Starrsmill,Fayette,3572,335,947,389,0,1671,125,418,204,0,747,2418,
Whitewater,Fayette,3564,254,1216,460,6,1936,123,518,216,3,860,2796,
Woolsey,Fayette,2542,246,757,327,0,1330,121,330,200,0,651,1981,
McIntosh,Fayette,3323,185,1128,436,1,1750,66,487,182,1,736,2486,
Oak Grove,Fayette,1344,141,455,150,0,746,42,170,58,1,271,1017,
Kedron,Fayette,4862,351,1560,570,3,2484,148,652,276,0,1076,3560,
Aberdeen,Fayette,1805,120,597,195,0,912,57,259,88,0,404,1316,
Windgate,Fayette,1011,101,335,101,1,538,49,134,49,1,233,771,
Flat Creek,Fayette,2117,181,588,246,2,1017,70,228,110,1,409,1426,
Braelinn,Fayette,1876,146,640,222,1,1009,64,284,96,0,444,1453,
Kenwood,Fayette,1014,104,303,176,2,585,33,72,65,0,170,755,
Banks,Fayette,1624,168,397,260,0,825,57,163,109,0,329,1154,
Harps Crossing,Fayette,1646,145,489,205,2,841,55,213,122,0,390,1231,
Willow Pond,Fayette,3100,225,916,447,4,1592,89,377,186,4,656,2248,
Dogwood,Fayette,3092,220,1039,410,3,1672,85,447,177,0,709,2381,
Oak Ridge,Fayette,2225,189,608,394,4,1195,61,212,163,2,438,1633,
Jeff Davis,Fayette,2876,147,862,390,5,1404,43,259,166,2,470,1874,
Murphy,Fayette,3224,185,988,489,2,1664,78,413,250,2,743,2407,
Fielding Ridge,Fayette,3497,259,1229,410,0,1898,95,521,185,0,801,2699,
Willowbend,Fayette,2007,146,666,223,0,1035,51,288,90,0,429,1464,
Camp Creek,Fayette,1895,131,611,218,1,961,60,302,106,1,469,1430,
Rising Star,Fayette,3833,308,1501,444,1,2254,133,669,201,2,1005,3259,
Spring Hill,Fayette,3299,164,1070,487,0,1721,59,427,214,1,701,2422,
Antioch,Fayette,1956,246,505,273,1,1025,101,217,92,0,410,1435,
