Precinct,County,Registered Voters,Blaine Murray (I) (Rep)_Election Day Votes,Blaine Murray (I) (Rep)_Advanced Voting Votes,Blaine Murray (I) (Rep)_Absentee by Mail Votes,Blaine Murray (I) (Rep)_Provisional Votes,Blaine Murray (I) (Rep)_Choice Total,Total,
Folkston,Charlton,2420,246,662,200,0,1108,1108,
GA Bend,Charlton,509,223,59,42,0,324,324,
St George,Charlton,661,219,131,50,1,401,401,
American Legion,Charlton,748,132,346,66,0,544,544,
Homeland,Charlton,864,165,341,60,0,566,566,
Folkston Fire,Charlton,767,77,372,61,0,510,510,
Racepond,Charlton,266,65,109,19,1,194,194,
Winokur,Charlton,317,93,94,23,0,210,210,
