Precinct,County,Registered Voters,Wendy Whitaker-Lee (I) (Rep)_Election Day Votes,Wendy Whitaker-Lee (I) (Rep)_Advanced Voting Votes,Wendy Whitaker-Lee (I) (Rep)_Absentee by Mail Votes,Wendy Whitaker-Lee (I) (Rep)_Provisional Votes,Wendy Whitaker-Lee (I) (Rep)_Choice Total,Total,
Folkston,Charlton,2420,242,662,195,0,1099,1099,
GA Bend,Charlton,509,224,58,39,0,321,321,
St George,Charlton,661,217,130,49,1,397,397,
American Legion,Charlton,748,130,341,65,0,536,536,
Homeland,Charlton,864,168,328,55,0,551,551,
Folkston Fire,Charlton,767,78,365,59,0,502,502,
Racepond,Charlton,266,68,109,17,1,195,195,
Winokur,Charlton,317,92,93,23,0,208,208,
