Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
Folkston,Charlton,2420,225,593,160,0,978,978,
American Legion,Charlton,748,35,96,16,0,147,147,
Homeland,Charlton,864,159,322,55,0,536,536,
Folkston Fire,Charlton,767,77,359,57,0,493,493,
Racepond,Charlton,266,31,31,5,0,67,67,
Winokur,Charlton,317,88,90,22,0,200,200,
