Precinct,County,Registered Voters,Debra T. Mizell (I) (Dem)_Election Day Votes,Debra T. Mizell (I) (Dem)_Advanced Voting Votes,Debra T. Mizell (I) (Dem)_Absentee by Mail Votes,Debra T. Mizell (I) (Dem)_Provisional Votes,Debra T. Mizell (I) (Dem)_Choice Total,Total,
Folkston,Charlton,2420,270,747,274,0,1291,1291,
GA Bend,Charlton,509,171,49,40,0,260,260,
St George,Charlton,661,167,105,44,0,316,316,
American Legion,Charlton,748,105,261,60,0,426,426,
Homeland,Charlton,864,145,271,53,0,469,469,
Folkston Fire,Charlton,767,62,314,61,0,437,437,
Racepond,Charlton,266,53,94,20,0,167,167,
Winokur,Charlton,317,81,78,25,0,184,184,
