Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,29,99,19,0,147,89,300,191,0,580,4,12,4,0,20,747,
Lyman Hall School,Liberty,4542,133,332,116,1,582,255,871,561,0,1687,33,54,20,0,107,2376,
Lewis Frasier School,Liberty,4317,142,644,191,0,977,183,972,585,0,1740,24,36,19,0,79,2796,
Memorial Dr East,Liberty,1976,48,117,46,1,212,100,410,277,2,789,12,15,8,0,35,1036,
Button Gwinnett,Liberty,2304,70,92,35,0,197,71,125,102,0,298,10,16,11,0,37,532,
Town of Allenhurst,Liberty,2398,83,217,74,0,374,144,674,337,0,1155,17,25,9,0,51,1580,
Hinesville,Liberty,1984,78,321,98,0,497,78,318,195,0,591,7,18,10,0,35,1123,
Liberty County Complex,Liberty,4379,204,951,173,0,1328,122,875,522,0,1519,21,53,14,0,88,2935,
Walthourville,Liberty,3016,89,256,74,0,419,138,770,346,0,1254,22,32,17,0,71,1744,
Fleming West,Liberty,505,27,48,19,0,94,36,115,88,0,239,2,5,0,0,7,340,
Fleming East,Liberty,3239,339,918,197,0,1454,76,311,209,0,596,17,35,8,0,60,2110,
Gum Branch,Liberty,3193,252,475,110,0,837,95,443,302,0,840,18,27,13,1,59,1736,
Hinesville Lodge 271,Liberty,2646,103,220,92,0,415,144,556,350,0,1050,19,28,18,0,65,1530,
