Precinct,County,Registered Voters,Eddie J. Walden (I) (Dem)_Election Day Votes,Eddie J. Walden (I) (Dem)_Advanced Voting Votes,Eddie J. Walden (I) (Dem)_Absentee by Mail Votes,Eddie J. Walden (I) (Dem)_Provisional Votes,Eddie J. Walden (I) (Dem)_Choice Total,Total,
Lewis Frasier School,Liberty,4317,19,88,44,0,151,151,
Memorial Dr East,Liberty,1976,0,9,2,0,11,11,
Button Gwinnett,Liberty,2304,41,69,46,0,156,156,
Hinesville,Liberty,1984,132,559,269,0,960,960,
Hinesville Lodge 271,Liberty,2646,99,226,104,0,429,429,
