Precinct,County,Registered Voters,Linda Dixon Thompson (I) (Dem)_Election Day Votes,Linda Dixon Thompson (I) (Dem)_Advanced Voting Votes,Linda Dixon Thompson (I) (Dem)_Absentee by Mail Votes,Linda Dixon Thompson (I) (Dem)_Provisional Votes,Linda Dixon Thompson (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,109,383,206,0,698,698,
Lyman Hall School,Liberty,4542,379,1168,661,0,2208,2208,
Lewis Frasier School,Liberty,4317,298,1469,708,0,2475,2475,
Memorial Dr East,Liberty,1976,147,498,307,2,954,954,
Button Gwinnett,Liberty,2304,127,202,126,0,455,455,
Town of Allenhurst,Liberty,2398,212,850,378,0,1440,1440,
Hinesville,Liberty,1984,135,563,277,0,975,975,
Liberty County Complex,Liberty,4379,266,1518,613,0,2397,2397,
Walthourville,Liberty,3016,220,963,387,0,1570,1570,
Fleming West,Liberty,505,57,153,99,0,309,309,
Fleming East,Liberty,3239,308,911,332,0,1551,1551,
Gum Branch,Liberty,3193,267,800,379,0,1446,1446,
Hinesville Lodge 271,Liberty,2646,243,731,412,0,1386,1386,
