Precinct,County,Registered Voters,Mark A. Hendrix (I) (Rep)_Election Day Votes,Mark A. Hendrix (I) (Rep)_Advanced Voting Votes,Mark A. Hendrix (I) (Rep)_Absentee by Mail Votes,Mark A. Hendrix (I) (Rep)_Provisional Votes,Mark A. Hendrix (I) (Rep)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,81,248,99,0,428,428,
Lyman Hall School,Liberty,4542,321,840,410,1,1572,1572,
Lewis Frasier School,Liberty,4317,280,1216,468,0,1964,1964,
Memorial Dr East,Liberty,1976,117,370,194,2,683,683,
Button Gwinnett,Liberty,2304,132,199,104,0,435,435,
Town of Allenhurst,Liberty,2398,196,616,256,0,1068,1068,
Hinesville,Liberty,1984,135,492,189,0,816,816,
Liberty County Complex,Liberty,4379,301,1413,367,0,2081,2081,
Walthourville,Liberty,3016,193,730,267,0,1190,1190,
Fleming West,Liberty,505,50,121,49,0,220,220,
Fleming East,Liberty,3239,393,1085,294,1,1773,1773,
Gum Branch,Liberty,3193,315,725,259,0,1299,1299,
Hinesville Lodge 271,Liberty,2646,214,538,284,0,1036,1036,
