Precinct,County,Registered Voters,"Reginald L. Pierce, Sr. (I) (Dem)_Election Day Votes","Reginald L. Pierce, Sr. (I) (Dem)_Advanced Voting Votes","Reginald L. Pierce, Sr. (I) (Dem)_Absentee by Mail Votes","Reginald L. Pierce, Sr. (I) (Dem)_Provisional Votes","Reginald L. Pierce, Sr. (I) (Dem)_Choice Total",Total,
Riceboro Youth Center,Liberty,1083,111,391,211,0,713,713,
Lyman Hall School,Liberty,4542,375,1162,668,0,2205,2205,
Lewis Frasier School,Liberty,4317,299,1444,721,0,2464,2464,
Memorial Dr East,Liberty,1976,143,499,314,3,959,959,
Button Gwinnett,Liberty,2304,132,204,128,0,464,464,
Town of Allenhurst,Liberty,2398,214,852,384,0,1450,1450,
Hinesville,Liberty,1984,137,544,274,0,955,955,
Liberty County Complex,Liberty,4379,271,1530,622,0,2423,2423,
Walthourville,Liberty,3016,220,967,399,0,1586,1586,
Fleming West,Liberty,505,58,159,103,0,320,320,
Fleming East,Liberty,3239,301,888,329,1,1519,1519,
Gum Branch,Liberty,3193,261,803,382,1,1447,1447,
Hinesville Lodge 271,Liberty,2646,242,733,430,0,1405,1405,
