Precinct,County,Registered Voters,Virgil M. Jones (I) (Dem)_Election Day Votes,Virgil M. Jones (I) (Dem)_Advanced Voting Votes,Virgil M. Jones (I) (Dem)_Absentee by Mail Votes,Virgil M. Jones (I) (Dem)_Provisional Votes,Virgil M. Jones (I) (Dem)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,107,400,213,0,720,720,
Lyman Hall School,Liberty,4542,381,1181,670,0,2232,2232,
Lewis Frasier School,Liberty,4317,302,1458,724,0,2484,2484,
Memorial Dr East,Liberty,1976,142,504,317,3,966,966,
Button Gwinnett,Liberty,2304,130,203,126,0,459,459,
Town of Allenhurst,Liberty,2398,213,855,386,0,1454,1454,
Hinesville,Liberty,1984,142,550,273,0,965,965,
Liberty County Complex,Liberty,4379,273,1539,633,0,2445,2445,
Walthourville,Liberty,3016,221,977,403,0,1601,1601,
Fleming West,Liberty,505,57,159,101,0,317,317,
Fleming East,Liberty,3239,314,919,338,1,1572,1572,
Gum Branch,Liberty,3193,269,797,382,1,1449,1449,
Hinesville Lodge 271,Liberty,2646,247,743,428,0,1418,1418,
