Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,31,110,20,0,161,101,323,205,0,629,2,2,3,0,7,797,
Lyman Hall School,Liberty,4542,135,355,121,1,612,283,933,604,0,1820,15,18,9,0,42,2474,
Lewis Frasier School,Liberty,4317,152,676,206,0,1034,201,1009,608,0,1818,14,20,13,0,47,2899,
Memorial Dr East,Liberty,1976,51,126,41,1,219,105,427,296,2,830,9,6,11,0,26,1075,
Button Gwinnett,Liberty,2304,83,93,45,0,221,73,136,108,0,317,3,9,9,0,21,559,
Town of Allenhurst,Liberty,2398,92,225,78,0,395,154,714,350,0,1218,7,7,8,0,22,1635,
Hinesville,Liberty,1984,81,337,103,0,521,88,343,222,0,653,5,4,5,0,14,1188,
Liberty County Complex,Liberty,4379,219,994,175,0,1388,123,944,545,0,1612,12,20,6,0,38,3038,
Walthourville,Liberty,3016,96,261,79,0,436,153,807,360,0,1320,10,10,11,0,31,1787,
Fleming West,Liberty,505,29,47,18,0,94,36,126,93,0,255,3,2,0,0,5,354,
Fleming East,Liberty,3239,359,976,200,1,1536,86,323,224,0,633,4,12,8,0,24,2193,
Gum Branch,Liberty,3193,272,506,124,0,902,102,462,319,1,884,8,12,2,0,22,1808,
Hinesville Lodge 271,Liberty,2646,104,235,101,0,440,161,582,367,0,1110,10,14,8,0,32,1582,
