Precinct,County,Registered Voters,Gary Gilliard (I) (Dem)_Election Day Votes,Gary Gilliard (I) (Dem)_Advanced Voting Votes,Gary Gilliard (I) (Dem)_Absentee by Mail Votes,Gary Gilliard (I) (Dem)_Provisional Votes,Gary Gilliard (I) (Dem)_Choice Total,Total,
Lyman Hall School,Liberty,4542,61,191,108,0,360,360,
Lewis Frasier School,Liberty,4317,24,101,56,0,181,181,
Memorial Dr East,Liberty,1976,140,477,303,3,923,923,
Town of Allenhurst,Liberty,2398,149,566,256,0,971,971,
Hinesville,Liberty,1984,4,11,3,0,18,18,
Walthourville,Liberty,3016,8,17,5,0,30,30,
Fleming West,Liberty,505,23,80,58,0,161,161,
Hinesville Lodge 271,Liberty,2646,10,29,24,0,63,63,
