Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Riceboro Youth Center,Liberty,1083,86,289,157,0,532,31,117,46,0,194,726,
Lyman Hall School,Liberty,4542,322,952,510,0,1784,88,305,174,0,567,2351,
Lewis Frasier School,Liberty,4317,255,1228,573,0,2056,92,398,201,0,691,2747,
Memorial Dr East,Liberty,1976,134,407,248,2,791,24,132,79,1,236,1027,
Button Gwinnett,Liberty,2304,119,190,102,0,411,29,38,42,0,109,520,
Town of Allenhurst,Liberty,2398,186,678,287,0,1151,50,234,118,0,402,1553,
Hinesville,Liberty,1984,103,443,211,0,757,60,210,76,0,346,1103,
Liberty County Complex,Liberty,4379,256,1267,486,0,2009,83,557,188,0,828,2837,
Walthourville,Liberty,3016,183,802,293,0,1278,59,231,126,0,416,1694,
Fleming West,Liberty,505,46,119,77,0,242,14,51,31,0,96,338,
Fleming East,Liberty,3239,284,799,276,1,1360,139,424,125,0,688,2048,
Gum Branch,Liberty,3193,250,671,309,1,1231,107,250,96,0,453,1684,
Hinesville Lodge 271,Liberty,2646,199,614,323,0,1136,64,185,127,0,376,1512,
