Precinct,County,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,
Alexander,Burke,389,70,41,72,0,183,183,
Four Points,Burke,2558,370,473,232,0,1075,1075,
Girard,Burke,733,142,94,95,0,331,331,
Gough,Burke,434,72,58,99,0,229,229,
Greenscut,Burke,1036,168,189,111,0,468,468,
Keysville,Burke,476,123,29,33,0,185,185,
Midville,Burke,492,128,35,65,0,228,228,
Munnerlyn,Burke,299,52,48,29,0,129,129,
Sardis,Burke,1049,228,138,77,0,443,443,
Scotts Crossroads,Burke,294,55,48,45,0,148,148,
Telfair,Burke,1121,152,201,139,0,492,492,
St Clair,Burke,442,75,82,71,0,228,228,
Vidette,Burke,313,70,28,42,0,140,140,
North Waynesboro,Burke,2949,312,660,516,0,1488,1488,
South Waynesboro,Burke,3290,347,910,395,0,1652,1652,
Blakeney,Burke,681,90,156,69,0,315,315,
