Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Alexander,Burke,389,63,53,69,0,185,44,17,10,0,71,256,
Four Points,Burke,2558,394,528,224,0,1146,156,164,56,0,376,1522,
Girard,Burke,733,127,91,95,0,313,61,34,16,0,111,424,
Gough,Burke,434,71,67,76,0,214,14,27,29,0,70,284,
Greenscut,Burke,1036,169,237,106,0,512,49,62,15,0,126,638,
Keysville,Burke,476,117,40,38,0,195,41,9,7,0,57,252,
Midville,Burke,492,118,35,57,0,210,41,7,11,0,59,269,
Munnerlyn,Burke,299,55,49,28,0,132,21,18,3,0,42,174,
Sardis,Burke,1049,233,126,73,0,432,78,47,19,0,144,576,
Scotts Crossroads,Burke,294,52,40,29,0,121,15,15,9,0,39,160,
Telfair,Burke,1121,168,211,142,0,521,47,69,13,0,129,650,
St Clair,Burke,442,75,82,66,0,223,29,32,9,0,70,293,
Vidette,Burke,313,71,26,39,0,136,39,11,12,0,62,198,
North Waynesboro,Burke,2949,237,584,434,0,1255,97,190,97,0,384,1639,
South Waynesboro,Burke,3290,323,1011,364,0,1698,97,272,77,0,446,2144,
Blakeney,Burke,681,72,154,59,0,285,28,41,17,0,86,371,
