Precinct,County,Registered Voters,Leonard D. Hill_Election Day Votes,Leonard D. Hill_Advanced Voting Votes,Leonard D. Hill_Absentee by Mail Votes,Leonard D. Hill_Provisional Votes,Leonard D. Hill_Choice Total,Total,
Alexander,Burke,389,92,52,60,0,204,204,
Four Points,Burke,2558,442,564,229,0,1235,1235,
Girard,Burke,733,145,94,96,0,335,335,
Gough,Burke,434,76,76,88,0,240,240,
Greenscut,Burke,1036,180,245,106,0,531,531,
Keysville,Burke,476,109,35,32,0,176,176,
Midville,Burke,492,134,29,57,0,220,220,
Munnerlyn,Burke,299,65,51,27,0,143,143,
Sardis,Burke,1049,250,152,72,0,474,474,
Scotts Crossroads,Burke,294,55,46,34,0,135,135,
Telfair,Burke,1121,171,233,115,0,519,519,
St Clair,Burke,442,79,96,66,0,241,241,
Vidette,Burke,313,81,31,41,0,153,153,
North Waynesboro,Burke,2949,276,639,402,0,1317,1317,
South Waynesboro,Burke,3290,369,1127,379,0,1875,1875,
Blakeney,Burke,681,81,177,56,0,314,314,
