Precinct,County,Registered Voters,"Emmett M. Patterson, Jr. (I) (Rep)_Election Day Votes","Emmett M. Patterson, Jr. (I) (Rep)_Advanced Voting Votes","Emmett M. Patterson, Jr. (I) (Rep)_Absentee by Mail Votes","Emmett M. Patterson, Jr. (I) (Rep)_Provisional Votes","Emmett M. Patterson, Jr. (I) (Rep)_Choice Total",Rondy C. Bacon (Dem)_Election Day Votes,Rondy C. Bacon (Dem)_Advanced Voting Votes,Rondy C. Bacon (Dem)_Absentee by Mail Votes,Rondy C. Bacon (Dem)_Provisional Votes,Rondy C. Bacon (Dem)_Choice Total,Total,
Beards Creek,Long,1539,199,255,49,1,504,92,126,90,1,309,813,
Rye Patch/Oak Dale,Long,3131,334,633,97,4,1068,81,356,129,1,567,1635,
South Ludowici,Long,1392,83,209,29,0,321,68,166,77,3,314,635,
North Ludowici,Long,2281,159,401,62,2,624,94,300,107,0,501,1125,
Tibet,Long,920,146,267,28,0,441,23,51,16,0,90,531,
Alma Flournoy,Long,298,62,92,11,1,166,7,12,12,1,32,198,
Faith Baptist Annex,Long,909,86,242,31,0,359,23,78,22,1,124,483,
