Precinct,County,Registered Voters,Craig Nobles (I) (Rep)_Election Day Votes,Craig Nobles (I) (Rep)_Advanced Voting Votes,Craig Nobles (I) (Rep)_Absentee by Mail Votes,Craig Nobles (I) (Rep)_Provisional Votes,Craig Nobles (I) (Rep)_Choice Total,Total,
Beards Creek,Long,1539,279,350,118,2,749,749,
Rye Patch/Oak Dale,Long,3131,385,857,165,5,1412,1412,
South Ludowici,Long,1392,131,315,79,1,526,526,
North Ludowici,Long,2281,227,582,126,3,938,938,
Tibet,Long,920,159,284,38,0,481,481,
Alma Flournoy,Long,298,65,95,16,2,178,178,
Faith Baptist Annex,Long,909,99,286,39,1,425,425,
