Precinct,County,Registered Voters,"H. Cecil Stafford, Jr. (I)_Election Day Votes","H. Cecil Stafford, Jr. (I)_Advanced Voting Votes","H. Cecil Stafford, Jr. (I)_Absentee by Mail Votes","H. Cecil Stafford, Jr. (I)_Provisional Votes","H. Cecil Stafford, Jr. (I)_Choice Total",Total,
Beards Creek,Long,1539,257,333,104,2,696,696,
Rye Patch/Oak Dale,Long,3131,385,847,175,5,1412,1412,
South Ludowici,Long,1392,134,299,74,2,509,509,
North Ludowici,Long,2281,222,596,121,2,941,941,
Tibet,Long,920,161,295,35,0,491,491,
Alma Flournoy,Long,298,63,93,16,2,174,174,
Faith Baptist Annex,Long,909,100,283,41,1,425,425,
