Precinct,County,Registered Voters,Sherry McFann Long (I) (Rep)_Election Day Votes,Sherry McFann Long (I) (Rep)_Advanced Voting Votes,Sherry McFann Long (I) (Rep)_Absentee by Mail Votes,Sherry McFann Long (I) (Rep)_Provisional Votes,Sherry McFann Long (I) (Rep)_Choice Total,Total,
Beards Creek,Long,1539,265,336,108,2,711,711,
Rye Patch/Oak Dale,Long,3131,397,855,165,5,1422,1422,
South Ludowici,Long,1392,129,305,77,2,513,513,
North Ludowici,Long,2281,228,584,120,2,934,934,
Tibet,Long,920,163,284,36,0,483,483,
Alma Flournoy,Long,298,69,102,15,2,188,188,
Faith Baptist Annex,Long,909,101,284,38,1,424,424,
