Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Beards Creek,Long,1539,253,308,88,2,651,651,
Rye Patch/Oak Dale,Long,3131,387,833,146,4,1370,1370,
South Ludowici,Long,1392,128,278,60,2,468,468,
North Ludowici,Long,2281,219,557,114,3,893,893,
Tibet,Long,920,162,281,32,0,475,475,
Alma Flournoy,Long,298,68,94,14,2,178,178,
Faith Baptist Annex,Long,909,102,276,37,1,416,416,
