Precinct,County,Registered Voters,Billy Nelson (I) (Rep)_Election Day Votes,Billy Nelson (I) (Rep)_Advanced Voting Votes,Billy Nelson (I) (Rep)_Absentee by Mail Votes,Billy Nelson (I) (Rep)_Provisional Votes,Billy Nelson (I) (Rep)_Choice Total,Total,
Beards Creek,Long,1539,253,324,89,2,668,668,
Rye Patch/Oak Dale,Long,3131,385,839,159,5,1388,1388,
South Ludowici,Long,1392,124,291,69,2,486,486,
North Ludowici,Long,2281,223,563,116,2,904,904,
Tibet,Long,920,162,288,34,0,484,484,
Alma Flournoy,Long,298,62,98,16,2,178,178,
Faith Baptist Annex,Long,909,102,272,36,1,411,411,
