Precinct,County,Registered Voters,Connie Smith (I) (Rep)_Election Day Votes,Connie Smith (I) (Rep)_Advanced Voting Votes,Connie Smith (I) (Rep)_Absentee by Mail Votes,Connie Smith (I) (Rep)_Provisional Votes,Connie Smith (I) (Rep)_Choice Total,Total,
Annex,Treutlen,0,249,892,184,0,1325,1325,
Soperton,Treutlen,0,240,788,254,0,1282,1282,
