Precinct,County,Registered Voters,Penny Sumner Wheeler (I) (Rep)_Election Day Votes,Penny Sumner Wheeler (I) (Rep)_Advanced Voting Votes,Penny Sumner Wheeler (I) (Rep)_Absentee by Mail Votes,Penny Sumner Wheeler (I) (Rep)_Provisional Votes,Penny Sumner Wheeler (I) (Rep)_Choice Total,Total,
Annex,Treutlen,0,249,887,186,0,1322,1322,
Soperton,Treutlen,0,248,815,261,0,1324,1324,
