Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,377,1198,327,0,1902,1902,
39 Newbranch,Toombs,0,322,497,128,0,947,947,
43 Cedar Crossing,Toombs,0,342,435,110,0,887,887,
513 VPD,Toombs,0,625,1998,664,3,3290,3290,
514 STIALC,Toombs,0,424,1216,391,3,2034,2034,
