Precinct,County,Registered Voters,Alvie Junior Kight (I) (Rep)_Election Day Votes,Alvie Junior Kight (I) (Rep)_Advanced Voting Votes,Alvie Junior Kight (I) (Rep)_Absentee by Mail Votes,Alvie Junior Kight (I) (Rep)_Provisional Votes,Alvie Junior Kight (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,397,1233,350,1,1981,1981,
39 Newbranch,Toombs,0,325,502,132,0,959,959,
43 Cedar Crossing,Toombs,0,350,443,112,0,905,905,
513 VPD,Toombs,0,632,2049,688,4,3373,3373,
514 STIALC,Toombs,0,448,1253,418,3,2122,2122,
