Precinct,County,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,388,1213,334,0,1935,1935,
39 Newbranch,Toombs,0,327,505,131,0,963,963,
43 Cedar Crossing,Toombs,0,354,446,114,0,914,914,
513 VPD,Toombs,0,626,2008,654,4,3292,3292,
514 STIALC,Toombs,0,420,1229,395,3,2047,2047,
