Precinct,County,Registered Voters,David Sikes (I) (Rep)_Election Day Votes,David Sikes (I) (Rep)_Advanced Voting Votes,David Sikes (I) (Rep)_Absentee by Mail Votes,David Sikes (I) (Rep)_Provisional Votes,David Sikes (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,382,1208,340,0,1930,1930,
39 Newbranch,Toombs,0,329,498,127,0,954,954,
43 Cedar Crossing,Toombs,0,351,438,109,0,898,898,
513 VPD,Toombs,0,617,2002,661,3,3283,3283,
514 STIALC,Toombs,0,424,1228,394,2,2048,2048,
