Precinct,County,Registered Voters,Gayle Infinger (Rep)_Election Day Votes,Gayle Infinger (Rep)_Advanced Voting Votes,Gayle Infinger (Rep)_Absentee by Mail Votes,Gayle Infinger (Rep)_Provisional Votes,Gayle Infinger (Rep)_Choice Total,Total,
Dupont,Clinch,338,37,26,7,1,71,71,
Fargo,Clinch,270,146,21,10,0,177,177,
Homerville,Clinch,3262,45,163,36,0,244,244,
