Precinct,County,Registered Voters,Chris Smith (Rep)_Election Day Votes,Chris Smith (Rep)_Advanced Voting Votes,Chris Smith (Rep)_Absentee by Mail Votes,Chris Smith (Rep)_Provisional Votes,Chris Smith (Rep)_Choice Total,Total,
Arabia,Clinch,108,59,12,3,0,74,74,
Argyle,Clinch,367,104,110,17,0,231,231,
Dupont,Clinch,338,106,69,17,0,192,192,
Fargo,Clinch,270,139,20,10,0,169,169,
Homerville,Clinch,3262,293,1136,225,0,1654,1654,
