Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
Baconton,Mitchell,1129,212,271,84,0,567,567,
Branchville,Mitchell,599,173,200,35,0,408,408,
Camilla North,Mitchell,1996,159,401,209,0,769,769,
Camilla South,Mitchell,3475,216,1185,420,3,1824,1824,
Cotton,Mitchell,399,186,72,39,0,297,297,
Hopeful,Mitchell,350,101,95,27,2,225,225,
Hinsonton,Mitchell,134,78,20,7,0,105,105,
Lester,Mitchell,1357,286,340,136,0,762,762,
Pebble City,Mitchell,162,71,29,17,0,117,117,
Pelham,Mitchell,3489,360,852,343,1,1556,1556,
Sale City,Mitchell,384,145,57,35,0,237,237,
