Precinct,County,Registered Voters,B. Keith Jones (I) (Dem)_Election Day Votes,B. Keith Jones (I) (Dem)_Advanced Voting Votes,B. Keith Jones (I) (Dem)_Absentee by Mail Votes,B. Keith Jones (I) (Dem)_Provisional Votes,B. Keith Jones (I) (Dem)_Choice Total,Total,
Camilla South,Mitchell,3475,137,559,339,1,1036,1036,
Pelham,Mitchell,3489,151,275,225,0,651,651,
