Precinct,County,Registered Voters,Julius C. Hatcher (I) (Rep)_Election Day Votes,Julius C. Hatcher (I) (Rep)_Advanced Voting Votes,Julius C. Hatcher (I) (Rep)_Absentee by Mail Votes,Julius C. Hatcher (I) (Rep)_Provisional Votes,Julius C. Hatcher (I) (Rep)_Choice Total,Total,
Cotton,Mitchell,399,182,72,36,0,290,290,
Hinsonton,Mitchell,134,72,20,7,0,99,99,
Pebble City,Mitchell,162,25,4,4,0,33,33,
Pelham,Mitchell,3489,231,590,218,0,1039,1039,
