Precinct,County,Registered Voters,Tabitha E. Payne (Rep)_Election Day Votes,Tabitha E. Payne (Rep)_Advanced Voting Votes,Tabitha E. Payne (Rep)_Absentee by Mail Votes,Tabitha E. Payne (Rep)_Provisional Votes,Tabitha E. Payne (Rep)_Choice Total,Total,
Baconton,Mitchell,1129,207,262,89,0,558,558,
Branchville,Mitchell,599,170,195,34,0,399,399,
Camilla North,Mitchell,1996,149,392,200,0,741,741,
Camilla South,Mitchell,3475,219,1170,412,3,1804,1804,
Cotton,Mitchell,399,179,72,38,0,289,289,
Hopeful,Mitchell,350,97,93,26,2,218,218,
Hinsonton,Mitchell,134,76,20,7,0,103,103,
Lester,Mitchell,1357,282,334,139,0,755,755,
Pebble City,Mitchell,162,70,29,17,0,116,116,
Pelham,Mitchell,3489,348,826,332,1,1507,1507,
Sale City,Mitchell,384,144,56,30,0,230,230,
