Precinct,County,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,
306,Richmond,3934,404,1003,684,2,2093,2093,
309,Richmond,3340,343,1156,773,2,2274,2274,
310,Richmond,5163,532,1546,1029,3,3110,3110,
402,Richmond,3311,470,565,546,2,1583,1583,
502,Richmond,4138,511,994,887,4,2396,2396,
503,Richmond,4021,424,968,814,3,2209,2209,
801,Richmond,523,94,48,70,0,212,212,
801B,Richmond,523,122,34,61,0,217,217,
803,Richmond,252,31,38,29,1,99,99,
