Precinct,County,Registered Voters,Steven B. Kendrick (I) (Dem)_Election Day Votes,Steven B. Kendrick (I) (Dem)_Advanced Voting Votes,Steven B. Kendrick (I) (Dem)_Absentee by Mail Votes,Steven B. Kendrick (I) (Dem)_Provisional Votes,Steven B. Kendrick (I) (Dem)_Choice Total,Total,
101,Richmond,896,146,221,164,3,534,534,
102,Richmond,1278,155,193,204,3,555,555,
103,Richmond,1428,158,301,283,2,744,744,
104,Richmond,2976,445,550,571,4,1570,1570,
105,Richmond,832,115,229,166,1,511,511,
106,Richmond,1182,165,135,140,1,441,441,
107,Richmond,1800,246,413,356,1,1016,1016,
108,Richmond,517,75,115,118,0,308,308,
109,Richmond,1052,119,269,182,1,571,571,
111,Richmond,1578,204,289,291,1,785,785,
112,Richmond,882,57,168,192,2,419,419,
114,Richmond,856,121,142,150,1,414,414,
201,Richmond,581,244,268,229,5,746,746,
115,Richmond,1332,66,76,70,0,212,212,
202,Richmond,4492,638,903,643,6,2190,2190,
203,Richmond,991,140,174,193,2,509,509,
204,Richmond,1578,237,366,254,3,860,860,
207,Richmond,2705,361,452,416,8,1237,1237,
208,Richmond,2651,357,541,435,4,1337,1337,
210,Richmond,1507,174,355,366,4,899,899,
301,Richmond,2409,353,697,451,1,1502,1502,
302,Richmond,1032,157,251,139,0,547,547,
303,Richmond,1417,144,443,242,1,830,830,
304,Richmond,365,55,87,64,0,206,206,
305,Richmond,428,43,146,105,0,294,294,
306,Richmond,3934,420,1048,715,3,2186,2186,
307,Richmond,1642,191,431,313,0,935,935,
308,Richmond,622,74,151,98,1,324,324,
309,Richmond,3340,363,1166,782,3,2314,2314,
310,Richmond,5163,561,1577,1043,3,3184,3184,
401,Richmond,2093,251,725,502,0,1478,1478,
402,Richmond,3311,473,579,557,4,1613,1613,
404,Richmond,1748,256,481,372,4,1113,1113,
405,Richmond,4424,369,1511,1130,2,3012,3012,
406,Richmond,3221,358,1042,819,4,2223,2223,
501,Richmond,3549,412,784,795,2,1993,1993,
502,Richmond,4138,519,1008,891,8,2426,2426,
503,Richmond,4021,427,1003,818,5,2253,2253,
504,Richmond,2339,342,436,334,5,1117,1117,
506,Richmond,416,52,98,49,2,201,201,
507,Richmond,968,166,248,153,1,568,568,
509,Richmond,2172,231,652,461,5,1349,1349,
601,Richmond,3988,432,937,616,15,2000,2000,
603,Richmond,3570,530,704,530,2,1766,1766,
604,Richmond,1811,288,353,270,0,911,911,
605,Richmond,3880,477,832,657,1,1967,1967,
607,Richmond,1812,202,554,428,1,1185,1185,
608,Richmond,1472,234,325,217,1,777,777,
701,Richmond,2403,309,620,450,2,1381,1381,
702,Richmond,1943,295,476,273,0,1044,1044,
703,Richmond,4644,561,1117,624,6,2308,2308,
705,Richmond,2276,263,607,453,1,1324,1324,
706,Richmond,3315,289,1021,591,1,1902,1902,
707,Richmond,2122,323,555,266,2,1146,1146,
708,Richmond,305,18,105,36,0,159,159,
709,Richmond,576,56,153,115,0,324,324,
801,Richmond,523,127,53,75,1,256,256,
801B,Richmond,523,141,40,68,0,249,249,
802,Richmond,3251,616,517,437,2,1572,1572,
803,Richmond,252,31,38,29,1,99,99,
804,Richmond,2096,271,547,324,0,1142,1142,
804H,Richmond,2863,414,662,471,5,1552,1552,
805,Richmond,798,106,233,133,1,473,473,
806,Richmond,1212,206,272,172,1,651,651,
807,Richmond,1578,185,378,281,1,845,845,
808,Richmond,2366,369,615,408,1,1393,1393,
809,Richmond,879,83,321,200,2,606,606,
810,Richmond,425,45,137,70,0,252,252,
