Precinct,County,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,
401,Richmond,2093,249,729,501,0,1479,1479,
404,Richmond,1748,250,481,364,4,1099,1099,
405,Richmond,4424,366,1511,1134,2,3013,3013,
406,Richmond,3221,351,1033,818,3,2205,2205,
509,Richmond,2172,233,645,458,3,1339,1339,
607,Richmond,1812,204,547,427,1,1179,1179,
804,Richmond,2096,252,512,312,0,1076,1076,
804H,Richmond,2863,379,626,450,4,1459,1459,
807,Richmond,1578,179,367,270,0,816,816,
809,Richmond,879,85,321,199,2,607,607,
810,Richmond,425,37,122,67,0,226,226,
