Precinct,County,Registered Voters,Richard Roundtree (I) (Dem)_Election Day Votes,Richard Roundtree (I) (Dem)_Advanced Voting Votes,Richard Roundtree (I) (Dem)_Absentee by Mail Votes,Richard Roundtree (I) (Dem)_Provisional Votes,Richard Roundtree (I) (Dem)_Choice Total,Total,
101,Richmond,896,134,204,158,3,499,499,
102,Richmond,1278,145,196,191,2,534,534,
103,Richmond,1428,152,289,271,2,714,714,
104,Richmond,2976,420,532,574,3,1529,1529,
105,Richmond,832,112,225,169,1,507,507,
106,Richmond,1182,155,134,134,1,424,424,
107,Richmond,1800,228,399,360,1,988,988,
108,Richmond,517,72,110,116,0,298,298,
109,Richmond,1052,112,250,181,1,544,544,
111,Richmond,1578,197,277,291,1,766,766,
112,Richmond,882,53,167,202,2,424,424,
114,Richmond,856,117,137,141,1,396,396,
201,Richmond,581,230,260,226,5,721,721,
115,Richmond,1332,66,73,68,0,207,207,
202,Richmond,4492,609,862,636,6,2113,2113,
203,Richmond,991,127,168,196,3,494,494,
204,Richmond,1578,226,353,253,3,835,835,
207,Richmond,2705,347,442,411,6,1206,1206,
208,Richmond,2651,334,517,425,4,1280,1280,
210,Richmond,1507,167,343,363,4,877,877,
301,Richmond,2409,321,659,452,1,1433,1433,
302,Richmond,1032,149,240,140,0,529,529,
303,Richmond,1417,139,430,242,1,812,812,
304,Richmond,365,52,84,61,0,197,197,
305,Richmond,428,40,140,106,0,286,286,
306,Richmond,3934,409,1027,689,3,2128,2128,
307,Richmond,1642,183,409,308,0,900,900,
308,Richmond,622,71,146,98,1,316,316,
309,Richmond,3340,349,1150,771,3,2273,2273,
310,Richmond,5163,531,1553,1035,3,3122,3122,
401,Richmond,2093,246,711,500,0,1457,1457,
402,Richmond,3311,451,556,551,3,1561,1561,
404,Richmond,1748,235,466,370,4,1075,1075,
405,Richmond,4424,354,1483,1122,3,2962,2962,
406,Richmond,3221,346,1027,816,4,2193,2193,
501,Richmond,3549,389,760,793,3,1945,1945,
502,Richmond,4138,501,980,881,8,2370,2370,
503,Richmond,4021,413,981,807,4,2205,2205,
504,Richmond,2339,328,414,320,5,1067,1067,
506,Richmond,416,45,94,47,2,188,188,
507,Richmond,968,160,245,149,1,555,555,
509,Richmond,2172,228,639,454,4,1325,1325,
601,Richmond,3988,416,913,603,15,1947,1947,
603,Richmond,3570,512,678,529,2,1721,1721,
604,Richmond,1811,276,340,269,0,885,885,
605,Richmond,3880,455,800,663,1,1919,1919,
607,Richmond,1812,190,537,416,1,1144,1144,
608,Richmond,1472,227,309,213,1,750,750,
701,Richmond,2403,290,599,443,2,1334,1334,
702,Richmond,1943,276,464,266,0,1006,1006,
703,Richmond,4644,535,1086,623,5,2249,2249,
705,Richmond,2276,258,599,453,1,1311,1311,
706,Richmond,3315,276,942,585,2,1805,1805,
707,Richmond,2122,306,540,257,2,1105,1105,
708,Richmond,305,17,101,37,0,155,155,
709,Richmond,576,55,146,118,0,319,319,
801,Richmond,523,115,54,77,1,247,247,
801B,Richmond,523,152,40,68,0,260,260,
802,Richmond,3251,564,474,430,2,1470,1470,
803,Richmond,252,31,39,28,1,99,99,
804,Richmond,2096,260,530,319,1,1110,1110,
804H,Richmond,2863,384,626,466,5,1481,1481,
805,Richmond,798,103,225,133,1,462,462,
806,Richmond,1212,199,263,164,1,627,627,
807,Richmond,1578,177,372,274,1,824,824,
808,Richmond,2366,355,585,400,1,1341,1341,
809,Richmond,879,81,312,201,2,596,596,
810,Richmond,425,40,125,66,0,231,231,
