Precinct,County,Registered Voters,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_Choice Total,Total,
107,Richmond,1800,242,392,255,0,889,889,
108,Richmond,517,56,59,58,0,173,173,
301,Richmond,2409,406,717,408,1,1532,1532,
303,Richmond,1417,176,525,246,1,948,948,
305,Richmond,428,51,180,102,1,334,334,
307,Richmond,1642,218,467,271,0,956,956,
308,Richmond,622,78,129,74,0,281,281,
701,Richmond,2403,360,694,385,1,1440,1440,
705,Richmond,2276,290,601,397,2,1290,1290,
706,Richmond,3315,332,1081,517,0,1930,1930,
