Precinct,County,Registered Voters,Le'Joi Williamson (Dem)_Election Day Votes,Le'Joi Williamson (Dem)_Advanced Voting Votes,Le'Joi Williamson (Dem)_Absentee by Mail Votes,Le'Joi Williamson (Dem)_Provisional Votes,Le'Joi Williamson (Dem)_Choice Total,Total,
101,Richmond,896,131,207,149,3,490,490,
102,Richmond,1278,150,185,200,3,538,538,
103,Richmond,1428,157,293,279,2,731,731,
104,Richmond,2976,431,540,568,4,1543,1543,
105,Richmond,832,115,222,166,1,504,504,
106,Richmond,1182,161,132,139,1,433,433,
107,Richmond,1800,222,380,327,1,930,930,
108,Richmond,517,73,112,110,0,295,295,
109,Richmond,1052,116,256,173,1,546,546,
111,Richmond,1578,199,281,294,1,775,775,
112,Richmond,882,57,166,187,2,412,412,
114,Richmond,856,118,143,148,1,410,410,
201,Richmond,581,239,266,227,4,736,736,
115,Richmond,1332,64,70,69,0,203,203,
202,Richmond,4492,622,869,621,7,2119,2119,
203,Richmond,991,137,167,196,1,501,501,
204,Richmond,1578,218,339,241,3,801,801,
207,Richmond,2705,347,449,418,8,1222,1222,
208,Richmond,2651,343,525,416,4,1288,1288,
210,Richmond,1507,169,348,364,4,885,885,
301,Richmond,2409,305,594,403,2,1304,1304,
302,Richmond,1032,157,240,133,0,530,530,
303,Richmond,1417,122,373,221,1,717,717,
304,Richmond,365,47,86,61,0,194,194,
305,Richmond,428,35,125,84,0,244,244,
306,Richmond,3934,407,1014,676,3,2100,2100,
307,Richmond,1642,162,363,279,0,804,804,
308,Richmond,622,72,146,89,1,308,308,
309,Richmond,3340,352,1156,776,3,2287,2287,
310,Richmond,5163,542,1544,1031,3,3120,3120,
401,Richmond,2093,249,721,502,0,1472,1472,
402,Richmond,3311,463,570,545,4,1582,1582,
404,Richmond,1748,248,477,368,4,1097,1097,
405,Richmond,4424,364,1495,1138,3,3000,3000,
406,Richmond,3221,351,1026,814,5,2196,2196,
501,Richmond,3549,407,762,780,4,1953,1953,
502,Richmond,4138,512,996,892,7,2407,2407,
503,Richmond,4021,418,972,806,5,2201,2201,
504,Richmond,2339,321,421,325,5,1072,1072,
506,Richmond,416,49,88,47,2,186,186,
507,Richmond,968,161,239,146,1,547,547,
509,Richmond,2172,233,640,460,5,1338,1338,
601,Richmond,3988,410,917,602,14,1943,1943,
603,Richmond,3570,482,662,501,2,1647,1647,
604,Richmond,1811,272,346,265,0,883,883,
605,Richmond,3880,457,787,637,1,1882,1882,
607,Richmond,1812,200,547,423,1,1171,1171,
608,Richmond,1472,214,305,208,1,728,728,
701,Richmond,2403,281,556,409,2,1248,1248,
702,Richmond,1943,273,437,252,0,962,962,
703,Richmond,4644,537,1062,602,6,2207,2207,
705,Richmond,2276,238,564,415,1,1218,1218,
706,Richmond,3315,273,935,560,2,1770,1770,
707,Richmond,2122,316,537,260,2,1115,1115,
708,Richmond,305,17,93,34,0,144,144,
709,Richmond,576,53,143,115,0,311,311,
801,Richmond,523,101,48,70,1,220,220,
801B,Richmond,523,121,36,64,0,221,221,
802,Richmond,3251,570,464,415,2,1451,1451,
803,Richmond,252,31,38,29,1,99,99,
804,Richmond,2096,256,519,317,0,1092,1092,
804H,Richmond,2863,383,619,460,5,1467,1467,
805,Richmond,798,101,228,129,1,459,459,
806,Richmond,1212,188,252,155,1,596,596,
807,Richmond,1578,179,371,277,1,828,828,
808,Richmond,2366,349,581,379,1,1310,1310,
809,Richmond,879,82,319,198,2,601,601,
810,Richmond,425,40,126,68,0,234,234,
