Precinct,County,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,620,1272,249,0,2141,2141,
Nahunta,Brantley,4208,521,1651,252,4,2428,2428,
Waynesville,Brantley,4286,794,1253,225,3,2275,2275,
