Precinct,County,Registered Voters,Steven Meeks (I) (Rep)_Election Day Votes,Steven Meeks (I) (Rep)_Advanced Voting Votes,Steven Meeks (I) (Rep)_Absentee by Mail Votes,Steven Meeks (I) (Rep)_Provisional Votes,Steven Meeks (I) (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,628,1296,253,0,2177,2177,
Nahunta,Brantley,4208,529,1677,259,4,2469,2469,
Waynesville,Brantley,4286,812,1276,226,3,2317,2317,
