Precinct,County,Registered Voters,Debbie Sirmans (I) (Rep)_Election Day Votes,Debbie Sirmans (I) (Rep)_Advanced Voting Votes,Debbie Sirmans (I) (Rep)_Absentee by Mail Votes,Debbie Sirmans (I) (Rep)_Provisional Votes,Debbie Sirmans (I) (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,639,1314,261,0,2214,2214,
Nahunta,Brantley,4208,552,1732,272,5,2561,2561,
Waynesville,Brantley,4286,813,1296,241,3,2353,2353,
