Precinct,County,Registered Voters,Bruce Thompson (I) (Rep)_Election Day Votes,Bruce Thompson (I) (Rep)_Advanced Voting Votes,Bruce Thompson (I) (Rep)_Absentee by Mail Votes,Bruce Thompson (I) (Rep)_Provisional Votes,Bruce Thompson (I) (Rep)_Choice Total,Travis Johnson (Dem)_Election Day Votes,Travis Johnson (Dem)_Advanced Voting Votes,Travis Johnson (Dem)_Absentee by Mail Votes,Travis Johnson (Dem)_Provisional Votes,Travis Johnson (Dem)_Choice Total,Total,
Bells Ferry 04,Cobb,3646,474,629,411,0,1514,188,460,478,1,1127,2641,
Big Shanty 02,Cobb,3236,312,588,397,2,1299,177,449,502,0,1128,2427,
Kennesaw 1A,Cobb,2499,32,32,13,0,77,21,63,34,1,119,196,
Palmer 01,Cobb,2760,129,229,180,0,538,51,185,189,0,425,963,
Pitner 01,Cobb,2814,353,532,292,0,1177,175,367,367,1,910,2087,
Wade Green 02,Cobb,4718,424,769,486,0,1679,253,786,736,0,1775,3454,
