Precinct,County,Registered Voters,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_Choice Total,Total,
Nickajack 01,Cobb,4889,418,1555,1064,0,3037,3037,
Oakdale 01,Cobb,3944,54,180,129,0,363,363,
Smyrna 7A,Cobb,6378,116,594,615,0,1325,1325,
Vinings 03,Cobb,4407,163,604,426,0,1193,1193,
