Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
McCleskey 01,Cobb,1736,257,403,402,0,1062,73,138,139,0,350,1412,
McClure 01,Cobb,3290,353,893,589,2,1837,141,339,217,0,697,2534,
Marietta 1A,Cobb,4468,402,766,549,4,1721,119,237,196,2,554,2275,
Marietta 2A,Cobb,2059,310,471,467,0,1248,81,179,179,0,439,1687,
Marietta 2B,Cobb,4447,429,1047,799,3,2278,155,303,275,0,733,3011,
Marietta 3A,Cobb,4388,381,966,911,1,2259,145,368,315,2,830,3089,
Marietta 3B,Cobb,2218,170,477,383,1,1031,51,115,112,0,278,1309,
Marietta 4A,Cobb,1956,354,395,438,0,1187,126,143,163,0,432,1619,
Marietta 4B,Cobb,2056,219,463,437,1,1120,77,141,147,0,365,1485,
Marietta 4C,Cobb,2781,306,736,584,0,1626,77,265,235,0,577,2203,
Marietta 5A,Cobb,3324,329,617,548,5,1499,122,194,189,1,506,2005,
Marietta 5B,Cobb,3084,322,551,368,2,1243,87,133,148,1,369,1612,
Marietta 6A,Cobb,2647,282,555,331,3,1171,85,151,119,2,357,1528,
Marietta 6B,Cobb,2910,280,705,661,0,1646,115,200,250,0,565,2211,
Marietta 7A,Cobb,3745,294,714,377,4,1389,77,183,133,0,393,1782,
Mars Hill 01,Cobb,3633,369,932,509,2,1812,149,454,262,0,865,2677,
Mars Hill 02,Cobb,2916,327,738,444,0,1509,94,264,182,0,540,2049,
Mt Bethel 01,Cobb,4125,372,828,1111,5,2316,136,355,485,1,977,3293,
Mt Bethel 03,Cobb,3294,214,763,802,0,1779,84,332,339,0,755,2534,
Mt Bethel 04,Cobb,2981,245,600,794,0,1639,90,263,333,0,686,2325,
North Cobb 01,Cobb,2317,229,573,388,1,1191,96,206,142,0,444,1635,
Nickajack 01,Cobb,4889,365,1327,903,4,2599,113,443,269,0,825,3424,
Norton Park 01,Cobb,4922,445,921,920,7,2293,155,316,291,2,764,3057,
Nicholson 01,Cobb,2455,323,531,457,0,1311,102,176,195,1,474,1785,
Oakdale 01,Cobb,3944,296,943,880,0,2119,132,306,382,0,820,2939,
Oregon 01,Cobb,1614,185,448,296,2,931,69,177,130,0,376,1307,
Oregon 02,Cobb,5671,455,1233,1030,2,2720,165,389,403,0,957,3677,
Oregon 03,Cobb,5713,500,1015,782,7,2304,159,298,291,2,750,3054,
Oregon 04,Cobb,4673,354,1036,883,4,2277,141,327,347,0,815,3092,
Oregon 05,Cobb,3846,347,1110,755,0,2212,137,377,265,1,780,2992,
Pebblebrook 01,Cobb,5218,429,1217,820,4,2470,105,351,274,2,732,3202,
Powers Ferry 01,Cobb,3504,373,683,704,2,1762,163,276,247,1,687,2449,
