Precinct,County,Registered Voters,Teri Anulewicz (I) (Dem)_Election Day Votes,Teri Anulewicz (I) (Dem)_Advanced Voting Votes,Teri Anulewicz (I) (Dem)_Absentee by Mail Votes,Teri Anulewicz (I) (Dem)_Provisional Votes,Teri Anulewicz (I) (Dem)_Choice Total,Total,
Dobbins 01,Cobb,3024,297,491,407,5,1200,1200,
Dobbins 02,Cobb,3984,482,1021,613,4,2120,2120,
Marietta 1A,Cobb,4468,338,692,496,5,1531,1531,
Marietta 5A,Cobb,3324,163,353,224,2,742,742,
Marietta 6A,Cobb,2647,188,362,220,0,770,770,
Marietta 7A,Cobb,3745,329,801,463,2,1595,1595,
Oregon 03,Cobb,5713,58,53,35,2,148,148,
Powers Ferry 01,Cobb,3504,15,29,32,0,76,76,
Sewell Mill 03,Cobb,4759,123,223,174,1,521,521,
Smyrna 1A,Cobb,4152,412,721,511,3,1647,1647,
Smyrna 2A,Cobb,5539,461,1253,876,1,2591,2591,
Smyrna 3A,Cobb,4573,364,1247,1006,3,2620,2620,
Smyrna 3B,Cobb,2496,36,75,64,2,177,177,
Smyrna 5A,Cobb,4319,144,205,201,2,552,552,
Terrell Mill 01,Cobb,5816,271,442,228,6,947,947,
