Precinct,County,Registered Voters,Mike Boyce (I) (Rep)_Election Day Votes,Mike Boyce (I) (Rep)_Advanced Voting Votes,Mike Boyce (I) (Rep)_Absentee by Mail Votes,Mike Boyce (I) (Rep)_Provisional Votes,Mike Boyce (I) (Rep)_Choice Total,Lisa Cupid (Dem)_Election Day Votes,Lisa Cupid (Dem)_Advanced Voting Votes,Lisa Cupid (Dem)_Absentee by Mail Votes,Lisa Cupid (Dem)_Provisional Votes,Lisa Cupid (Dem)_Choice Total,Total,
Macland 01,Cobb,4213,159,413,223,0,795,265,1073,786,2,2126,2921,
Murdock 01,Cobb,4059,449,714,780,0,1943,142,458,751,0,1351,3294,
McEachern 01,Cobb,3549,160,548,366,1,1075,136,791,641,0,1568,2643,
McCleskey 01,Cobb,1736,258,362,255,0,875,69,185,287,1,542,1417,
McClure 01,Cobb,3290,381,873,406,2,1662,116,376,405,1,898,2560,
Marietta 1A,Cobb,4468,204,341,227,1,773,321,686,526,6,1539,2312,
Marietta 2A,Cobb,2059,278,380,371,0,1029,116,279,284,0,679,1708,
Marietta 2B,Cobb,4447,265,533,454,3,1255,324,834,633,0,1791,3046,
Marietta 3A,Cobb,4388,341,683,594,1,1619,193,684,670,2,1549,3168,
Marietta 3B,Cobb,2218,49,110,89,0,248,176,482,428,1,1087,1335,
Marietta 4A,Cobb,1956,430,388,404,0,1222,68,165,203,1,437,1659,
Marietta 4B,Cobb,2056,192,288,277,0,757,110,319,317,1,747,1504,
Marietta 4C,Cobb,2781,305,686,428,0,1419,84,334,404,0,822,2241,
Marietta 5A,Cobb,3324,180,269,218,0,667,269,562,531,3,1365,2032,
Marietta 5B,Cobb,3084,141,155,118,0,414,266,528,410,3,1207,1621,
Marietta 6A,Cobb,2647,118,178,110,2,408,249,518,353,2,1122,1530,
Marietta 6B,Cobb,2910,254,453,372,0,1079,146,476,555,0,1177,2256,
Marietta 7A,Cobb,3745,109,160,111,0,380,268,743,408,4,1423,1803,
Mars Hill 01,Cobb,3633,425,1121,482,1,2029,104,272,301,0,677,2706,
Mars Hill 02,Cobb,2916,294,603,269,0,1166,125,399,371,0,895,2061,
Mt Bethel 01,Cobb,4125,424,817,883,4,2128,95,391,752,2,1240,3368,
Mt Bethel 03,Cobb,3294,232,716,565,0,1513,74,401,604,0,1079,2592,
Mt Bethel 04,Cobb,2981,278,611,646,0,1535,66,266,515,0,847,2382,
North Cobb 01,Cobb,2317,208,388,214,0,810,115,400,321,1,837,1647,
Nickajack 01,Cobb,4889,167,441,283,2,893,305,1330,908,3,2546,3439,
Norton Park 01,Cobb,4922,228,502,492,1,1223,368,747,759,7,1881,3104,
Nicholson 01,Cobb,2455,314,406,313,0,1033,113,304,355,0,772,1805,
Oakdale 01,Cobb,3944,283,527,506,0,1316,151,737,794,1,1683,2999,
Oregon 01,Cobb,1614,172,405,219,1,797,88,224,214,1,527,1324,
Oregon 02,Cobb,5671,222,407,375,0,1004,416,1246,1113,3,2778,3782,
Oregon 03,Cobb,5713,205,361,311,3,880,446,974,776,6,2202,3082,
Oregon 04,Cobb,4673,179,421,317,1,918,333,964,949,4,2250,3168,
Oregon 05,Cobb,3846,305,626,371,1,1303,171,892,659,0,1722,3025,
Pebblebrook 01,Cobb,5218,116,281,218,1,616,434,1300,909,6,2649,3265,
Powers Ferry 01,Cobb,3504,351,510,417,0,1278,183,460,555,3,1201,2479,
Pine Mountain 01,Cobb,3491,360,987,537,1,1885,124,393,392,4,913,2798,
Pine Mountain 02,Cobb,3127,409,873,603,0,1885,86,300,317,2,705,2590,
Post Oak 01,Cobb,3660,392,826,609,4,1831,114,415,543,0,1072,2903,
Pope 01,Cobb,3153,266,655,512,0,1433,112,383,573,0,1068,2501,
Palmer 01,Cobb,2760,295,484,376,0,1155,144,341,354,0,839,1994,
Powders Springs 1A,Cobb,4755,145,574,329,1,1049,194,1283,1028,4,2509,3558,
Powders Springs 2A,Cobb,3536,86,222,152,0,460,221,955,614,3,1793,2253,
Powders Springs 3A,Cobb,3991,121,388,217,0,726,256,1072,610,1,1939,2665,
Pitner 01,Cobb,2814,362,537,299,1,1199,165,364,352,1,882,2081,
Rocky Mount 01,Cobb,3390,471,659,434,1,1565,147,357,554,1,1059,2624,
Riverside 01,Cobb,2133,37,39,35,0,111,216,481,295,2,994,1105,
Roswell 01,Cobb,5374,527,1089,1072,1,2689,149,551,1086,0,1786,4475,
