Precinct,County,Registered Voters,Rebecca Keaton (I) (Rep)_Election Day Votes,Rebecca Keaton (I) (Rep)_Advanced Voting Votes,Rebecca Keaton (I) (Rep)_Absentee by Mail Votes,Rebecca Keaton (I) (Rep)_Provisional Votes,Rebecca Keaton (I) (Rep)_Choice Total,Connie Taylor (Dem)_Election Day Votes,Connie Taylor (Dem)_Advanced Voting Votes,Connie Taylor (Dem)_Absentee by Mail Votes,Connie Taylor (Dem)_Provisional Votes,Connie Taylor (Dem)_Choice Total,Total,
Acworth 1A,Cobb,5458,281,1096,648,0,2025,207,835,837,3,1882,3907,
Acworth 1B,Cobb,5214,422,1006,597,2,2027,266,685,599,4,1554,3581,
Acworth 1C,Cobb,5110,216,709,338,1,1264,279,1079,769,9,2136,3400,
Addison 01,Cobb,2444,241,383,401,0,1025,130,317,443,1,891,1916,
Austell 1A,Cobb,5329,171,275,203,3,652,362,1286,944,10,2602,3254,
Bells Ferry 02,Cobb,3127,323,530,361,1,1215,159,397,465,1,1022,2237,
Bells Ferry 03,Cobb,2436,288,332,207,2,829,183,303,331,1,818,1647,
Bells Ferry 04,Cobb,3646,479,642,431,3,1555,188,448,443,2,1081,2636,
Big Shanty 01,Cobb,2385,228,377,292,5,902,138,286,248,1,673,1575,
Big Shanty 02,Cobb,3236,309,599,407,3,1318,183,437,486,1,1107,2425,
Baker 01,Cobb,4773,369,721,327,3,1420,285,958,612,6,1861,3281,
Birney 01,Cobb,2727,134,247,286,6,673,222,463,410,5,1100,1773,
Birney 02,Cobb,3894,194,433,424,0,1051,188,851,775,3,1817,2868,
Bryant 01,Cobb,2142,29,46,32,1,108,185,702,464,2,1353,1461,
Bryant 02,Cobb,6209,74,127,75,0,276,517,1468,774,6,2765,3041,
Blackwell 01,Cobb,2698,228,461,316,3,1008,173,351,476,0,1000,2008,
Chattahoochee 01,Cobb,5969,278,565,322,3,1168,408,1351,882,4,2645,3813,
Cheatham Hill 02,Cobb,3085,329,724,513,0,1566,105,374,409,1,889,2455,
Cheatham Hill 03,Cobb,4029,345,858,608,1,1812,126,691,616,0,1433,3245,
Chalker 01,Cobb,6065,338,655,462,1,1456,472,1122,732,2,2328,3784,
Clarkdale 01,Cobb,1937,118,213,160,1,492,122,324,299,2,747,1239,
Clarkdale 02,Cobb,5372,268,492,300,0,1060,442,1247,825,5,2519,3579,
Cooper 01,Cobb,5252,141,329,271,0,741,409,1230,888,4,2531,3272,
Chestnut Ridge 01,Cobb,3162,345,642,669,0,1656,105,331,528,0,964,2620,
Dickerson 01,Cobb,2828,284,583,531,3,1401,70,325,525,1,921,2322,
Dobbins 01,Cobb,3024,114,145,123,5,387,242,412,335,7,996,1383,
Dobbins 02,Cobb,3984,205,332,182,2,721,351,829,484,5,1669,2390,
Dowell 01,Cobb,3197,265,581,377,0,1223,162,551,526,4,1243,2466,
Dodgen 01,Cobb,2100,271,399,407,2,1079,76,237,341,1,655,1734,
Durham 01,Cobb,4256,405,1410,643,1,2459,88,460,435,1,984,3443,
Davis 01,Cobb,2093,327,363,254,0,944,133,263,328,0,724,1668,
Eastside 01,Cobb,3040,345,581,627,3,1556,89,306,528,1,924,2480,
Eastside 02,Cobb,4074,331,765,889,1,1986,119,437,745,2,1303,3289,
Elizabeth 01,Cobb,4065,233,344,196,1,774,316,804,529,4,1653,2427,
Elizabeth 02,Cobb,2434,258,397,428,3,1086,121,301,345,1,768,1854,
Elizabeth 03,Cobb,2767,320,464,552,1,1337,114,353,409,1,877,2214,
Elizabeth 04,Cobb,3011,270,298,267,1,836,257,443,480,0,1180,2016,
Elizabeth 05,Cobb,2884,350,486,424,0,1260,131,340,495,1,967,2227,
East Piedmont 01,Cobb,2627,267,318,258,1,844,193,404,394,0,991,1835,
Fair Oaks 02,Cobb,5779,246,419,337,4,1006,495,1046,905,4,2450,3456,
Fair Oaks 04,Cobb,5322,275,302,288,1,866,511,650,601,8,1770,2636,
Fullers Park 01,Cobb,3452,370,665,616,0,1651,123,381,613,0,1117,2768,
Ford 01,Cobb,3161,330,1002,458,1,1791,70,329,332,0,731,2522,
Frey 01,Cobb,2582,182,839,341,0,1362,61,306,266,1,634,1996,
Garrison Mill 01,Cobb,2872,350,590,419,1,1360,120,368,446,0,934,2294,
Gritters 01,Cobb,4033,446,695,540,1,1682,239,461,564,1,1265,2947,
Harmony-Leland 01,Cobb,6394,131,377,269,0,777,350,1923,1407,4,3684,4461,
Harrison 01,Cobb,3122,350,904,514,0,1768,95,314,304,0,713,2481,
Hightower 01,Cobb,4262,415,788,947,0,2150,92,444,778,0,1314,3464,
Hayes 01,Cobb,4111,382,1097,666,0,2145,115,443,493,2,1053,3198,
Kennesaw 1A,Cobb,2499,223,370,204,9,806,189,399,228,7,823,1629,
Kennesaw 2A,Cobb,3944,323,721,389,4,1437,201,569,475,1,1246,2683,
Kennesaw 3A,Cobb,6477,314,898,479,3,1694,378,1216,923,3,2520,4214,
Kennesaw 4A,Cobb,3783,247,683,443,2,1375,187,573,513,1,1274,2649,
Kennesaw 5A,Cobb,5855,547,1081,508,0,2136,320,1090,835,1,2246,4382,
Kell 01,Cobb,2006,310,336,272,0,918,130,200,290,2,622,1540,
Kemp 01,Cobb,1960,258,514,338,0,1110,61,185,208,0,454,1564,
Kemp 02,Cobb,4049,401,861,638,4,1904,140,570,535,3,1248,3152,
Kemp 03,Cobb,3955,520,1180,606,2,2308,102,401,373,0,876,3184,
Lassiter 01,Cobb,3647,457,751,623,0,1831,114,439,552,2,1107,2938,
Lindley 01,Cobb,4797,196,415,352,0,963,273,1378,1087,0,2738,3701,
Lost Mountain 01,Cobb,3604,212,1064,551,1,1828,87,550,488,0,1125,2953,
Lost Mountain 02,Cobb,4121,365,1434,670,0,2469,99,519,394,0,1012,3481,
Lost Mountain 03,Cobb,5387,303,1743,764,1,2811,113,767,613,1,1494,4305,
Lost Mountain 04,Cobb,2629,259,761,370,1,1391,60,335,313,0,708,2099,
Mableton 01,Cobb,5127,144,513,446,4,1107,274,1135,988,0,2397,3504,
Mableton 02,Cobb,3330,136,227,192,0,555,252,602,526,0,1380,1935,
Mableton 03,Cobb,3010,192,411,351,0,954,180,521,471,3,1175,2129,
Mableton 04,Cobb,1581,141,243,240,0,624,66,270,291,0,627,1251,
Mabry 01,Cobb,1656,252,382,292,3,929,47,167,215,2,431,1360,
